NIST/ITL StRD
Dataset Name:  Bennett5          (Bennett5.dat)

File Format:   ASCII
     -32.163300E0     11.632000E0
     -32.154598E0     11.644210E0
     -32.145901E0     11.656280E0
     -32.140099E0     11.668200E0
     -32.131401E0     11.679980E0
     -32.125599E0     11.691620E0
     -32.119801E0     11.703130E0
     -32.111198E0     11.714510E0
     -32.105400E0     11.725760E0
     -32.096699E0     11.736880E0
     -32.090900E0     11.747890E0
     -32.088001E0     11.758780E0
     -32.079300E0     11.769550E0
     -32.073502E0     11.780200E0
     -32.067699E0     11.790730E0
     -32.061901E0     11.801160E0
     -32.056099E0     11.811480E0
     -32.050301E0     11.821700E0
     -32.044498E0     11.831810E0
     -32.038799E0     11.841820E0
     -32.033001E0     11.851730E0
     -32.027199E0     11.861550E0
     -32.024300E0     11.871270E0
     -32.018501E0     11.880890E0
     -32.012699E0     11.890420E0
     -32.004002E0     11.899870E0
     -32.001099E0     11.909220E0
     -31.995300E0     11.918490E0
     -31.989500E0     11.927680E0
     -31.983700E0     11.936780E0
     -31.977900E0     11.945790E0
     -31.972099E0     11.954730E0
     -31.969299E0     11.963590E0
     -31.963501E0     11.972370E0
     -31.957701E0     11.981070E0
     -31.951900E0     11.989700E0
     -31.946100E0     11.998260E0
     -31.940300E0     12.006740E0
     -31.937401E0     12.015150E0
     -31.931601E0     12.023490E0
     -31.925800E0     12.031760E0
     -31.922899E0     12.039970E0
     -31.917101E0     12.048100E0
     -31.911301E0     12.056170E0
     -31.908400E0     12.064180E0
     -31.902599E0     12.072120E0
     -31.896900E0     12.080010E0
     -31.893999E0     12.087820E0
     -31.888201E0     12.095580E0
     -31.885300E0     12.103280E0
     -31.882401E0     12.110920E0
     -31.876600E0     12.118500E0
     -31.873699E0     12.126030E0
     -31.867901E0     12.133500E0
     -31.862101E0     12.140910E0
     -31.859200E0     12.148270E0
     -31.856300E0     12.155570E0
     -31.850500E0     12.162830E0
     -31.844700E0     12.170030E0
     -31.841801E0     12.177170E0
     -31.838900E0     12.184270E0
     -31.833099E0     12.191320E0
     -31.830200E0     12.198320E0
     -31.827299E0     12.205270E0
     -31.821600E0     12.212170E0
     -31.818701E0     12.219030E0
     -31.812901E0     12.225840E0
     -31.809999E0     12.232600E0
     -31.807100E0     12.239320E0
     -31.801300E0     12.245990E0
     -31.798401E0     12.252620E0
     -31.795500E0     12.259200E0
     -31.789700E0     12.265750E0
     -31.786800E0     12.272240E0
