NIST/ITL StRD
Dataset Name:  Hahn1             (Hahn1.dat)

File Format:   ASCII
      18.566E0        524.70E0
      18.645E0        548.75E0
      18.706E0        551.64E0
      18.924E0        574.02E0
      19.1E0          623.86E0
       0.375E0         21.46E0
       0.471E0         24.33E0
       1.504E0         33.43E0
       2.204E0         39.22E0
       2.813E0         44.18E0
       4.765E0         55.02E0
       9.835E0         94.33E0
      10.040E0         96.44E0
      11.946E0        118.82E0
      12.596E0        128.48E0
      13.303E0        141.94E0
      13.922E0        156.92E0
      14.440E0        171.65E0
      14.951E0        190.00E0
      15.627E0        223.26E0
      15.639E0        223.88E0
      15.814E0        231.50E0
      16.315E0        265.05E0
      16.334E0        269.44E0
      16.430E0        271.78E0
      16.423E0        273.46E0
      17.024E0        334.61E0
      17.009E0        339.79E0
      17.165E0        349.52E0
      17.134E0        358.18E0
      17.349E0        377.98E0
      17.576E0        394.77E0
      17.848E0        429.66E0
      18.090E0        468.22E0
      18.276E0        487.27E0
      18.404E0        519.54E0
      18.519E0        523.03E0
      19.133E0        612.99E0
      19.074E0        638.59E0
      19.239E0        641.36E0
      19.280E0        622.05E0
      19.101E0        631.50E0
      19.398E0        663.97E0
      19.252E0        646.9E0
      19.89E0         748.29E0
      20.007E0        749.21E0
      19.929E0        750.14E0
      19.268E0        647.04E0
      19.324E0        646.89E0
      20.049E0        746.9E0
      20.107E0        748.43E0
      20.062E0        747.35E0
      20.065E0        749.27E0
      19.286E0        647.61E0
      19.972E0        747.78E0
      20.088E0        750.51E0
      20.743E0        851.37E0
      20.83E0         845.97E0
      20.935E0        847.54E0
      21.035E0        849.93E0
      20.93E0         851.61E0
      21.074E0        849.75E0
      21.085E0        850.98E0
      20.935E0        848.23E0
